chain_length,Rg2,Rend2,ratio,R1,R2,R3
2,1.4055050433612912,5.622020173445165,4.0,1.4055050433612915,-1.1071053245664147e-17,-1.2746881511983198e-16
2,0.9272562990453941,3.7090251961815763,4.0,0.9272562990453934,4.877759469727331e-17,-1.2051418413980526e-16
2,0.13103850478600343,0.5241540191440137,4.0,0.1310385047860034,1.329103300387871e-18,-2.7755575615628914e-17
2,0.027624323212367657,0.11049729284947063,4.0,0.027624323212367657,1.436494875476368e-19,-1.734723475976807e-18
2,0.5006981593104206,2.0027926372416824,4.0,0.5006981593104203,1.1650314219157352e-17,-7.77272265843305e-20
2,1.2630892752920522,5.052357101168209,4.0,1.2630892752920528,3.0035433108884704e-18,0.0
2,0.36784421859493327,1.471376874379733,4.0,0.3678442185949336,2.2029105532118394e-17,2.190288940088443e-20
2,0.412621283277939,1.650485133111756,4.0,0.412621283277939,4.38388959108468e-18,-4.36519001431436e-18
2,0.7497736186204814,2.9990944744819257,4.0,0.7497736186204814,0.0,-7.194254349736801e-18
2,2.524271925954545,10.09708770381818,4.0,2.5242719259545456,1.6666030244071594e-16,-2.7069916642555113e-18
2,1.0893545555064026,4.35741822202561,4.0,1.0893545555064024,7.323298406163438e-18,5.370444456112778e-19
2,1.1338610770672106,4.5354443082688425,4.0,1.133861077067211,1.0726067244406858e-16,-1.4620459453571564e-17
2,0.18302143526733228,0.7320857410693291,4.0,0.18302143526733228,2.1353610380625082e-18,-2.7755575615628914e-17
2,0.47083749018444976,1.883349960737799,4.0,0.47083749018444987,1.6086379028550655e-17,0.0
2,1.4112697592548757,5.645079037019503,4.0,1.4112697592548757,1.1102230246251565e-16,5.587851131586681e-18
2,0.7410448206206502,2.964179282482601,4.0,0.7410448206206504,-1.3035041576292773e-17,-1.1102230246251565e-16
2,0.20453608147910904,0.8181443259164362,4.0,0.2045360814791091,0.0,-2.1251349489018463e-18
2,0.05104655729444654,0.20418622917778617,4.0,0.05104655729444654,2.0316582915092004e-19,0.0
2,0.5746791700599343,2.298716680239737,4.0,0.5746791700599342,2.530563704351924e-19,2.530563704351924e-19
